,SEXO,EDAD,NACIO,DISCA,TITU,RAMA,AMBITO,T_UNIV,ESTUDIOS_PADRE,ESTUDIOS_MADRE,IDIOMAS,NIV_ID1,NIV_ID2,MVFUERA,EST_M1,HL_E1,HL_E2,HL_E3,EST_B1,EST_B2_1,EST_B2_4,TIC,CAPITAL_CULTURAL,NIVEL_IDIOMA_MAX,MOVILIDAD_INTL,PRACTICAS_CALIDAD,PERFIL_GLOBAL
10077,2,1,1,2,31402,3,31,1,4.0,4.0,1.0,2.0,,2.0,2.0,4,,2,1.0,1,2,1.0,4.0,2.0,0,0,3.17
26508,2,1,1,2,91201,5,912,1,8.0,8.0,4.0,1.0,1.0,1.0,1.0,2,1,2,1.0,2,2,1.0,8.0,1.0,1,1,7.33
3125,1,2,1,2,11301,3,113,3,3.0,3.0,1.0,1.0,,2.0,2.0,4,,1,2.0,,,2.0,3.0,1.0,0,0,1.83
9507,1,3,1,2,31301,3,313,1,4.0,3.0,2.0,3.0,3.0,2.0,2.0,1,1,1,2.0,,,2.0,3.5,3.0,0,3,5.0
25919,1,1,1,2,84101,5,84,3,8.0,8.0,2.0,2.0,3.0,2.0,1.0,3,2,1,2.0,,,2.0,8.0,3.0,1,2,9.0
27128,2,3,1,2,91301,5,913,1,6.0,3.0,2.0,1.0,2.0,2.0,2.0,4,,1,2.0,,,2.0,4.5,2.0,0,0,3.67
24254,1,2,1,2,73202,4,73,3,6.0,6.0,1.0,1.0,,2.0,2.0,2,2,2,2.0,,,3.0,6.0,1.0,0,1,1.83
14410,2,1,1,2,41601,3,41,1,,,2.0,1.0,2.0,1.0,2.0,2,2,2,2.0,,,1.0,,2.0,1,1,7.67
14165,1,2,1,2,41403,3,41,3,,6.0,1.0,3.0,,2.0,1.0,3,5,2,1.0,2,2,,6.0,3.0,1,2,8.5
4143,2,1,1,2,11901,3,11,1,6.0,3.0,1.0,2.0,,2.0,1.0,3,2,2,1.0,1,2,2.0,4.5,2.0,1,2,7.17
19308,2,2,2,2,61901,4,61,1,8.0,4.0,2.0,1.0,2.0,2.0,2.0,1,2,2,1.0,1,2,3.0,6.0,2.0,0,3,3.67
20893,1,1,1,2,71403,4,71,1,5.0,4.0,2.0,1.0,1.0,1.0,2.0,3,5,2,2.0,,,3.0,4.5,1.0,1,2,6.33
29356,1,1,1,2,91601,5,91,1,8.0,8.0,1.0,1.0,,2.0,2.0,1,2,2,2.0,,,2.0,8.0,1.0,0,3,1.83
14857,2,1,1,2,42101,3,42,1,8.0,8.0,2.0,1.0,1.0,1.0,1.0,1,1,1,1.0,2,2,2.0,8.0,1.0,1,3,6.33
27305,2,3,1,2,91301,5,913,1,3.0,2.0,1.0,2.0,,2.0,2.0,1,5,2,2.0,,,2.0,2.5,2.0,0,3,3.17
14840,1,1,1,2,42101,3,42,1,5.0,4.0,1.0,2.0,,2.0,2.0,2,2,1,2.0,,,2.0,4.5,2.0,0,1,3.17
23340,2,2,1,2,73101,4,73,1,8.0,8.0,2.0,2.0,2.0,2.0,1.0,3,5,1,1.0,2,2,2.0,8.0,2.0,1,2,7.67
10420,1,1,1,2,32102,3,32,1,5.0,5.0,1.0,1.0,,2.0,2.0,1,2,2,1.0,1,2,3.0,5.0,1.0,0,3,1.83
1618,1,3,1,2,11201,3,112,4,3.0,5.0,2.0,1.0,2.0,2.0,2.0,1,2,2,2.0,,,2.0,4.0,2.0,0,3,3.67
